title,url,address,
한화리조트 거제 벨버디어,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=21c62f2a-8ca9-48b4-bb44-075543b4ab3d&con_type=32,경상남도 거제시 장목면 거제북로 2501-40,
진안 홍삼스파,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f61fb452-001f-4251-80fc-f05c8328cca8&big_category=A02&mid_category=A0202&big_area=37,전북특별자치도 진안군 진안읍 외사양길 16-10,
파라다이스 씨티 씨메르(인천),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6ba4da90-c52f-48c5-811a-cdc36d7c0a27&big_category=A02&mid_category=A0202&big_area=2,인천광역시 중구 영종해안남로321번길 186,
금강송 에코리움,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09be7adb-9af1-4caa-b056-84aff1c81665&big_category=A01&mid_category=A0101&big_area=35,경상북도 울진군 금강송면 십이령로 552,
편백나무숲속 나폴리농원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2b33bf09-693c-4d0a-a6a3-1e9f7775a3a8&big_category=A02&mid_category=A0203&big_area=36,경상남도 통영시 산양읍 미륵산길 152,
아원,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=ccde89d6-32f7-456d-b82b-25255b3c11d6&con_type=32,전북특별자치도 완주군 소양면 송광수만로 516-7,
뮤지엄산,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=2aa0e2bf-f20c-4961-936a-be7822ca882b&con_type=14,강원특별자치도 원주시 지정면 오크밸리2길 260,
순천만국가정원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=26cbdc82-063d-4e57-8bc6-9136938cc88d&big_category=A02&mid_category=A0202&big_area=38,전라남도 순천시 국가정원1호길 47,
깊은산속 옹달샘,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=00cc83f5-d93c-4b1e-927d-0f143745030e&big_category=A02&mid_category=A0203&big_area=33,충청북도 충주시 노은면 우성1길 201-61,
모명재,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a472527-1790-4710-8b7a-8a6eef763a0f&big_category=A02&mid_category=A0201&big_area=4,대구광역시 수성구 달구벌대로527길 13-5 (만촌동),
동해무릉건강숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0682c93e-d31d-4232-ad41-9d8dcac11cc0&big_category=A02&mid_category=A0202&big_area=32,강원특별자치도 동해시 삼화로 455,
스파랜드 센텀시티,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b2f8cf27-98bb-43ef-9f9e-f746a7ad556e&big_category=A02&mid_category=A0202&big_area=6,부산광역시 해운대구 센텀남대로 35 (우동),
국립장성숲체원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=896100fb-3c6c-44bc-920f-7bf893703c28&big_category=A01&mid_category=A0101&big_area=38,전라남도 장성군 북이면 방장로 353,
